mz,diff,reference,formula,formula_isotopefree,formula_ion,homseries,totalc,H.C,O.C,C,H,O,N,S,P,Cl,Na,C13
882.1812501,0.3395651,883.1888265,C_40 H_38 O_22 C13_1,C41H38O22,C_40 H_37 O_22 C13_1,155,41,0.927,0.537,40,38,22,0,0,0,0,0,1
883.0843221,0.4150147,884.0919655,C_38 H_28 O_25,C38H28O25,C_38 H_27 O_25,132,38,0.737,0.658,38,28,25,0,0,0,0,0,0
883.1210759,0.0017056,884.1283509,C_39 H_32 O_24,C39H32O24,C_39 H_31 O_24,155,39,0.821,0.615,39,32,24,0,0,0,0,0,0
883.1426268,0.4785727,884.1494801,C_36 H_36 O_26,C36H36O26,C_36 H_35 O_26,387,36,1,0.722,36,36,26,0,0,0,0,0,0
883.1575217,0.0699881,884.1647362,C_40 H_36 O_23,C40H36O23,C_40 H_35 O_23,209,40,0.9,0.575,40,36,23,0,0,0,0,0,0
883.1781801,0.4625251,884.1858655,C_37 H_40 O_25,C37H40O25,C_37 H_39 O_25,391,37,1.081,0.676,37,40,25,0,0,0,0,0,0
883.1938793,0.038567,884.2011216,C_41 H_40 O_22,C41H40O22,C_41 H_39 O_22,229,41,0.976,0.537,41,40,22,0,0,0,0,0,0
883.2150655,0.1030476,884.2222509,C_38 H_44 O_24,C38H44O24,C_38 H_43 O_24,376,38,1.158,0.632,38,44,24,0,0,0,0,0,0
883.2301073,0.1394467,884.237507,C_42 H_44 O_21,C42H44O21,C_42 H_43 O_21,237,42,1.048,0.5,42,44,21,0,0,0,0,0,0
883.2506221,0.8342261,884.2586362,C_39 H_48 O_23,C39H48O23,C_39 H_47 O_23,379,39,1.231,0.59,39,48,23,0,0,0,0,0,0
883.2670407,0.4803781,884.2738924,C_43 H_48 O_20,C43H48O20,C_43 H_47 O_20,270,43,1.116,0.465,43,48,20,0,0,0,0,0,0
883.3027292,0.3077292,884.3102778,C_44 H_52 O_19,C44H52O19,C_44 H_51 O_19,278,44,1.182,0.432,44,52,19,0,0,0,0,0,0
883.3389832,0.4562444,884.3466631,C_45 H_56 O_18,C45H56O18,C_45 H_55 O_18,291,45,1.244,0.4,45,56,18,0,0,0,0,0,0
884.1244841,0.0619072,885.1317057,C_38 H_32 O_24 C13_1,C39H32O24,C_38 H_31 O_24 C13_1,155,39,0.821,0.615,38,32,24,0,0,0,0,0,1
884.1602987,0.5828331,885.1680911,C_39 H_36 O_23 C13_1,C40H36O23,C_39 H_35 O_23 C13_1,209,40,0.9,0.575,39,36,23,0,0,0,0,0,1
884.1971082,0.1037693,885.2044765,C_40 H_40 O_22 C13_1,C41H40O22,C_40 H_39 O_22 C13_1,229,41,0.976,0.537,40,40,22,0,0,0,0,0,1
885.0997473,0.6678392,886.1076155,C_38 H_30 O_25,C38H30O25,C_38 H_29 O_25,209,38,0.789,0.658,38,30,25,0,0,0,0,0,0
885.1359879,0.831176,886.1440009,C_39 H_34 O_24,C39H34O24,C_39 H_33 O_24,229,39,0.872,0.615,39,34,24,0,0,0,0,0,0
885.1574529,0.4522963,886.1651301,C_36 H_38 O_26,C36H38O26,C_36 H_37 O_26,376,36,1.056,0.722,36,38,26,0,0,0,0,0,0
885.172709,0.4522456,886.1803862,C_40 H_38 O_23,C40H38O23,C_40 H_37 O_23,237,40,0.95,0.575,40,38,23,0,0,0,0,0,0
